description,price_uninsured,price_insured
1-2-3 PASTE, 	14.35 , 	51.24 
17-HYDROXYPREGNENOLONE, 	48.72 , 	174.00 
21-HYDROXYLASE AB, 	78.68 , 	281.00 
3D W IND WORKSTATION, 	252.00 , 	900.00 
3D WO IND WORKSTATION, 	252.00 , 	900.00 
5-HIAA, 	45.36 , 	162.00 
6MP/6MMP METABOLITE, 	121.80 , 	435.00 
6MP/6TP METABOLITE, 	121.80 , 	435.00 
6PAIN CLINIC 10-URN/IA SCREEN, 	86.52 , 	309.00 
A1 ANTITRYPSIN PHENOTYPE/A1 LV, 	33.04 , 	118.00 
A2 HEMOGLOBIN-QUAN/BLOOD, 	64.96 , 	232.00 
A2 MACROGLOBIN NEPHELOMETRY, 	59.08 , 	211.00 
AB ELUTION RBC EACH, 	83.44 , 	298.00 
AB ID RBC EACH PANEL, 	113.12 , 	404.00 
ABACAVIR 20 MG/ML ORAL SOLUTION, 	14.78 , 	52.80 
ABACAVIR 20 MG/ML ORAL SOLUTION, 	39.49 , 	141.04 
ABACAVIR 20 MG/ML ORAL SOLUTION, 	202.09 , 	721.76 
ABACAVIR 20 MG/ML ORAL SOLUTION, 	236.52 , 	844.73 
ABACAVIR 20 MG/ML ORAL SOLUTION, 	236.52 , 	844.73 
ABACAVIR 300 MG TABLET, 	11.18 , 	39.94 
ABACAVIR 300 MG TABLET, 	11.18 , 	39.94 
ABACAVIR 300 MG TABLET, 	11.18 , 	39.94 
ABACAVIR 300 MG TABLET, 	11.92 , 	42.57 
ABACAVIR 300 MG TABLET, 	14.84 , 	53.01 
ABACAVIR 300 MG TABLET, 	14.99 , 	53.54 
ABACAVIR 300 MG-LAMIVUDINE 150 MG-ZIDOVUDINE 300 MG TABLET, 	34.71 , 	123.97 
ABACAVIR 300 MG-LAMIVUDINE 150 MG-ZIDOVUDINE 300 MG TABLET, 	43.20 , 	154.28 
ABACAVIR 300 MG-LAMIVUDINE 150 MG-ZIDOVUDINE 300 MG TABLET, 	43.20 , 	154.28 
ABACAVIR 600 MG-DOLUTEGRAVIR 50 MG-LAMIVUDINE 300 MG TABLET, 	150.56 , 	537.71 
ABACAVIR 600 MG-DOLUTEGRAVIR 50 MG-LAMIVUDINE 300 MG TABLET, 	150.56 , 	537.71 
ABACAVIR 600 MG-LAMIVUDINE 300 MG TABLET, 	22.46 , 	80.21 
ABACAVIR 600 MG-LAMIVUDINE 300 MG TABLET, 	22.46 , 	80.21 
ABACAVIR 600 MG-LAMIVUDINE 300 MG TABLET, 	69.33 , 	247.60 
ABACAVIR 600 MG-LAMIVUDINE 300 MG TABLET, 	69.33 , 	247.60 
ABATACEPT (WITH MALTOSE) 250 MG INTRAVENOUS SOLUTION," 	1,787.00 "," 	6,382.13 "
ABATACEPT (WITH MALTOSE) 250 MG INTRAVENOUS SOLUTION," 	1,787.00 "," 	6,382.13 "
ABATACEPT 125 MG/ML SUBCUTANEOUS SYRINGE, 	901.08 ," 	3,218.15 "
ABBREVIATED BREAST MRI, 	299.88 ," 	1,071.00 "
ABBRVE CHROMO ANALY 5 CELLS, 	126.00 , 	450.00 
ABCIXIMAB 10 MG/5 ML INTRAVENOUS SOLUTION," 	1,628.07 "," 	5,814.52 "
ABD PARACENTESIS W IMG, 	496.44 ," 	1,773.00 "
ABD PARACENTESIS WO IMG, 	285.60 ," 	1,020.00 "
ABEMACICLIB 100 MG TABLET, 	324.77 ," 	1,159.91 "
ABEMACICLIB 50 MG TABLET, 	324.77 ," 	1,159.91 "
ABIRATERONE 250 MG TABLET, 	137.29 , 	490.33 
ABIRATERONE 250 MG TABLET, 	137.30 , 	490.34 
ABLATE BONE TUMOR(S) PERQ," 	1,420.44 "," 	5,073.00 "
ABLATE US LEIOMYOMATA TISS <200CC," 	3,975.16 "," 	14,197.00 "
ABLATE US LEIOMYOMATA TISS >200CC," 	4,991.56 "," 	17,827.00 "
ABLATION 1/>LIVER TUMOR PERQ CRYOABLAT," 	1,420.44 "," 	5,073.00 "
ABLATION RENAL TUMORS PERC CRYOTHERAPY, 	845.32 ," 	3,019.00 "
ABLATION RENAL TUMORS PERC RF," 	1,101.52 "," 	3,934.00 "
ABLATION THER 1+ PULM TUMORS PERQ CRYOABLATION," 	1,420.44 "," 	5,073.00 "
"ABLATION, ENDOMETRIAL MICROWAVE"," 	1,117.20 "," 	3,990.00 "
"ABLATOR, ASPIRATING OPES LO-PRO 90D 3MM", 	186.20 , 	665.00 
"ABLATOR, ASPIRATING OPES LO-PRO 90D 4MM", 	186.20 , 	665.00 
ABLT AV NODE," 	3,293.64 "," 	11,763.00 "
